Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Population [Pop],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Cost of a healthy diet [CoHD],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp]
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2019,YR2019,404557,..,..,4.364,..
Food Prices for Nutrition 1.1,FPN 1.1,"Bahamas, The",BHS,2020,YR2020,406471,..,..,4.488,..
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2017,YR2017,1456834,..,..,3.379,0.492
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2018,YR2018,1487340,..,..,3.463,..
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2019,YR2019,1494188,..,..,3.573,..
Food Prices for Nutrition 1.1,FPN 1.1,Bahrain,BHR,2020,YR2020,1477469,..,..,3.835,..
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2017,YR2017,161793964,74.6,120.7,2.882,0.648
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2018,YR2018,163683958,71.4,116.8,2.971,..
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2019,YR2019,165516222,69.9,114.4,3.024,..
Food Prices for Nutrition 1.1,FPN 1.1,Bangladesh,BGD,2020,YR2020,167420951,70,114.5,3.064,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2017,YR2017,279187,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2018,YR2018,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2019,YR2019,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2020,YR2020,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2017,YR2017,9458989,2.1,0.2,3.177,0.378
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2018,YR2018,9438785,1.1,0.1,3.228,..
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2019,YR2019,9419758,1.4,0.1,3.31,..
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2020,YR2020,9379952,1.4,0.1,3.31,..
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2017,YR2017,11375158,0.3,0,2.862,0.347
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2018,YR2018,11427054,0.2,0,2.962,..
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2019,YR2019,11488980,0.2,0,2.943,..
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2020,YR2020,11538604,0.2,0,3.13,..
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2017,YR2017,374693,47.4,0.2,2.476,1.009
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2018,YR2018,382066,45.3,0.2,2.321,..
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2019,YR2019,389095,44.4,0.2,2.221,..
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2020,YR2020,394921,43,0.2,2.14,..
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2017,YR2017,11596779,90.5,10.5,3.55,1.721
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2018,YR2018,11940683,86.7,10.4,3.67,..
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2019,YR2019,12290444,82.4,9.8,3.664,..
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2020,YR2020,12643123,82.4,9.8,3.707,..
