"Centrale/decentrale productie";"Energiedragers";"Perioden";"MWh";"TJ";"%"
"Totaal centrale/decentrale productie";"Steenkool";"2019";"17714968";"63774";"14,6"
"Totaal centrale/decentrale productie";"Steenkool";"2020";"7605424";"27380";"6,2"
"Totaal centrale/decentrale productie";"Steenkool";"2021 **";"14563863";"52430";"11,9"
"Totaal centrale/decentrale productie";"Stookolie";"1998";"497692";"1792";"0,5"
"Totaal centrale/decentrale productie";"Stookolie";"1999";"428137";"1541";"0,5"
"Totaal centrale/decentrale productie";"Stookolie";"2000";"395370";"1423";"0,4"
"Totaal centrale/decentrale productie";"Stookolie";"2001";"448035";"1613";"0,5"
"Totaal centrale/decentrale productie";"Stookolie";"2002";"450424";"1622";"0,5"
"Totaal centrale/decentrale productie";"Stookolie";"2003";"533030";"1919";"0,5"
"Totaal centrale/decentrale productie";"Stookolie";"2004";"433811";"1562";"0,4"
"Totaal centrale/decentrale productie";"Stookolie";"2005";"331940";"1195";"0,3"
"Totaal centrale/decentrale productie";"Stookolie";"2006";"282922";"1019";"0,3"
"Totaal centrale/decentrale productie";"Stookolie";"2007";"259745";"935";"0,2"
"Totaal centrale/decentrale productie";"Stookolie";"2008";"257889";"928";"0,2"
"Totaal centrale/decentrale productie";"Stookolie";"2009";"54442";"196";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2010";"48180";"173";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2011";"35944";"130";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2012";"32366";"117";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2013";"89993";"324";"0,1"
"Totaal centrale/decentrale productie";"Stookolie";"2014";"342284";"1232";"0,3"
"Totaal centrale/decentrale productie";"Stookolie";"2015";"90826";"327";"0,1"
"Totaal centrale/decentrale productie";"Stookolie";"2016";"54841";"197";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2017";"49863";"180";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2018";"41966";"151";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2019";"75105";"270";"0,1"
"Totaal centrale/decentrale productie";"Stookolie";"2020";"29364";"106";"0,0"
"Totaal centrale/decentrale productie";"Stookolie";"2021 **";"42464";"153";"0,0"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"1998";"4817500";"17343";"5,2"
"Totaal centrale/decentrale productie";"Overige fossiele brandstoffen";"1999";"4869784";"17531";"5,6"
